topic,edit_count
Venator,11
Rem,9
Apollo,7
Updates,7
Silver,7
Graves,6
"Update:January 20, 2026",6
Pepper,5
Dashing,4
Rem/Quotes,4
Venator/Quotes,4
Yamato,3
Pepper/Quotes,3
Silver/Quotes,3
Soul Urn,3
The Arroyo's,3
Apollo/Quotes,3
Abrams,2
Data:Dictionary,2
Data:ItemData.json,2
Kinetic Dash/Update history,2
Denizen,2
Death/Update history,2
Graves/Quotes,2
Express Shot,2
Monster Rounds,2
Rem/Sounds,2
Shiv,2
Denizen/Update history,2
The Doorman,2
Soul Urn/Update history,2
Souls,2
Toxic Bullets,2
Bebop,2
Bullet Lifesteal (item),1
Bullet Resilience,1
Bullet Resilience/zh-hans,1
Bullet Resist Shredder,1
Burst Fire,1
Calico,1
Capacitor,1
Cheat Death,1
Cheat Death/zh-hans,1
Close Quarters,1
Close Quarters/ru,1
Cold Front,1
Cold Front/zh-hans,1
Colossus,1
Colossus/zh-hans,1
Compress Cooldown,1
Compress Cooldown/zh-hans,1
Counterspell,1
Counterspell/zh-hans,1
Crippling Headshot,1
Crushing Fists,1
Cultist Sacrifice,1
Curse,1
Curse/zh-hans,1
Data:Lang en.json,1
Data:NpcData.json,1
Debuff Reducer,1
Debuff Remover,1
Debuff Remover/zh-hans,1
Decay,1
Decay/zh-hans,1
Disarming Hex,1
Disarming Hex/zh-hans,1
Divine Barrier,1
Divine Barrier/zh-hans,1
Diviner's Kevlar,1
Diviner's Kevlar/zh-hans,1
Drifter,1
Duration Extender,1
Duration Extender/zh-hans,1
Dynamo,1
Echo Shard,1
Echo Shard/zh-hans,1
Enchanter's Emblem,1
Enduring Speed,1
Enduring Spirit,1
Escalating Exposure,1
Escalating Exposure/zh-hans,1
Escalating Resilience,1
Ethereal Shift,1
Ethereal Shift/zh-hans,1
Extended Magazine,1
Extra Charge,1
Extra Health,1
Extra Regen,1
Extra Slots,1
Extra Spirit,1
Extra Stamina,1
Familiar,1
Fathom,1
Fathom/zh-hans,1
Fencer,1
Fleetfoot,1
Fleetfoot/ru,1
Focus Lens,1
Fortitude,1
Fortitude/zh-hans,1
Frenzy,1
Fury Trance,1
Fury Trance/zh-hans,1
Generic Male/Quotes,1
Glass Cannon,1
Greater Expansion,1
Greater Expansion/zh-hans,1
Grey Talon,1
Grey Talon/ru,1
Guardian,1
Guardian Ward,1
Haze,1
Headhunter,1
Headshot Booster,1
Healbane,1
Healing Booster,1
Healing Booster/zh-hans,1
Healing Nova,1
Healing Nova/zh-hans,1
Healing Rite,1
Healing Tempo,1
Healing Tempo/zh-hans,1
Hero Labs,1
Heroic Aura,1
Hideout,1
High-Velocity Rounds,1
High-Velocity Rounds/ru,1
Holliday,1
Holliday/ru,1
Hollow Point,1
Hunter's Aura,1
Improved Spirit,1
Improved Spirit/zh-hans,1
